"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","718","Profile page loads and displays personal information","tests","2026-07-21","passed","2026-07-21","","test_profile","",""
"","4244","User can log out successfully","tests","2026-07-21","passed","2026-07-21","","test_logout","",""
"","41273","User can create a new group and become its moderator","tests","2026-07-21","broken","2026-07-21","","test_create_group","",""
"","39385","Moderator can edit group name and description","tests","2026-07-21","broken","2026-07-21","","test_edit_group","",""
"","17666","User can add a new item to their inventory","tests","2026-07-21","passed","2026-07-21","","test_add_item","",""
"","40413","Moderator can generate an invite link for their group","tests","2026-07-21","broken","2026-07-21","","test_group_invite","",""
"","2882","Items list page loads and search is available","tests","2026-07-21","passed","2026-07-21","","test_items_list","",""
"","0","Full borrow and return flow — from request to confirmed return","tests","2026-07-21","skipped","2026-07-21","","test_borrow_return_flow","",""
"","13096","User can create an item and see it in inventory","tests","2026-07-21","passed","2026-07-21","","test_item_detail","",""
"","36084","User can create a group and see it in the groups list","tests","2026-07-21","broken","2026-07-21","","test_group_detail","",""
"","39905","User can delete an available item","tests","2026-07-21","passed","2026-07-21","","test_delete_item","",""
"","4779","User can log in with email and password","tests","2026-07-21","passed","2026-07-21","","test_login","",""
"","28765","User can edit item name and description","tests","2026-07-21","passed","2026-07-21","","test_edit_item","",""
"","14873","Groups list page loads and displays correctly","tests","2026-07-21","passed","2026-07-21","","test_groups_list","",""
"","1346","User can update their bio on the profile page","tests","2026-07-21","passed","2026-07-21","","test_profile","",""
