"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Full borrow and return flow — from request to confirmed return","tests","2026-07-21","skipped","2026-07-21","","test_borrow_return_flow","",""
"","19417","User can edit item name and description","tests","2026-07-21","passed","2026-07-21","","test_edit_item","",""
"","9916","User can create an item and see it in inventory","tests","2026-07-21","passed","2026-07-21","","test_item_detail","",""
"","35796","User can create a new group and become its moderator","tests","2026-07-21","broken","2026-07-21","","test_create_group","",""
"","13172","User can add a new item to their inventory","tests","2026-07-21","passed","2026-07-21","","test_add_item","",""
"","3701","User can log out successfully","tests","2026-07-21","passed","2026-07-21","","test_logout","",""
"","21525","User can delete an available item","tests","2026-07-21","passed","2026-07-21","","test_delete_item","",""
"","744","Profile page loads and displays personal information","tests","2026-07-21","passed","2026-07-21","","test_profile","",""
"","7382","Groups list page loads and displays correctly","tests","2026-07-21","passed","2026-07-21","","test_groups_list","",""
"","1654","Items list page loads and search is available","tests","2026-07-21","passed","2026-07-21","","test_items_list","",""
"","36670","Moderator can generate an invite link for their group","tests","2026-07-21","broken","2026-07-21","","test_group_invite","",""
"","36692","Moderator can edit group name and description","tests","2026-07-21","broken","2026-07-21","","test_edit_group","",""
"","1550","User can update their bio on the profile page","tests","2026-07-21","passed","2026-07-21","","test_profile","",""
"","2922","User can log in with email and password","tests","2026-07-21","passed","2026-07-21","","test_login","",""
"","36468","User can create a group and see it in the groups list","tests","2026-07-21","broken","2026-07-21","","test_group_detail","",""
