"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11556","Groups list page loads and displays correctly","tests","2026-07-21","passed","2026-07-21","","test_groups_list","",""
"","45340","User can create a group and see it in the groups list","tests","2026-07-21","broken","2026-07-21","","test_group_detail","",""
"","705","Profile page loads and displays personal information","tests","2026-07-21","passed","2026-07-21","","test_profile","",""
"","31263","User can delete an available item","tests","2026-07-21","passed","2026-07-21","","test_delete_item","",""
"","1098","User can update their bio on the profile page","tests","2026-07-21","passed","2026-07-21","","test_profile","",""
"","28313","User can edit item name and description","tests","2026-07-21","passed","2026-07-21","","test_edit_item","",""
"","8031","User can create an item and see it in inventory","tests","2026-07-21","passed","2026-07-21","","test_item_detail","",""
"","2616","User can log in with email and password","tests","2026-07-21","passed","2026-07-21","","test_login","",""
"","40341","Moderator can edit group name and description","tests","2026-07-21","broken","2026-07-21","","test_edit_group","",""
"","3525","User can log out successfully","tests","2026-07-21","passed","2026-07-21","","test_logout","",""
"","1665","Items list page loads and search is available","tests","2026-07-21","passed","2026-07-21","","test_items_list","",""
"","40237","User can create a new group and become its moderator","tests","2026-07-21","broken","2026-07-21","","test_create_group","",""
"","10220","User can add a new item to their inventory","tests","2026-07-21","passed","2026-07-21","","test_add_item","",""
"","0","Full borrow and return flow — from request to confirmed return","tests","2026-07-21","skipped","2026-07-21","","test_borrow_return_flow","",""
"","36247","Moderator can generate an invite link for their group","tests","2026-07-21","broken","2026-07-21","","test_group_invite","",""
