"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2230","Items list page loads and search is available","tests","2026-07-21","passed","2026-07-21","","test_items_list","",""
"","22489","User can delete an available item","tests","2026-07-21","passed","2026-07-21","","test_delete_item","",""
"","9384","User can add a new item to their inventory","tests","2026-07-21","passed","2026-07-21","","test_add_item","",""
"","1705","User can update their bio on the profile page","tests","2026-07-21","passed","2026-07-21","","test_profile","",""
"","3353","User can log in with email and password","tests","2026-07-21","passed","2026-07-21","","test_login","",""
"","21174","User can edit item name and description","tests","2026-07-21","passed","2026-07-21","","test_edit_item","",""
"","0","Full borrow and return flow — from request to confirmed return","tests","2026-07-21","skipped","2026-07-21","","test_borrow_return_flow","",""
"","4114","User can log out successfully","tests","2026-07-21","passed","2026-07-21","","test_logout","",""
"","37305","Moderator can generate an invite link for their group","tests","2026-07-21","broken","2026-07-21","","test_group_invite","",""
"","8684","Groups list page loads and displays correctly","tests","2026-07-21","passed","2026-07-21","","test_groups_list","",""
"","870","Profile page loads and displays personal information","tests","2026-07-21","passed","2026-07-21","","test_profile","",""
"","10019","User can create an item and see it in inventory","tests","2026-07-21","passed","2026-07-21","","test_item_detail","",""
"","38054","User can create a group and see it in the groups list","tests","2026-07-21","broken","2026-07-21","","test_group_detail","",""
"","37895","User can create a new group and become its moderator","tests","2026-07-21","broken","2026-07-21","","test_create_group","",""
"","38616","Moderator can edit group name and description","tests","2026-07-21","broken","2026-07-21","","test_edit_group","",""
