"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16242","User can create an item and see it in inventory","tests","2026-06-26","passed","2026-06-26","","test_item_detail","",""
"","3936","User can log out successfully","tests","2026-06-26","passed","2026-06-26","","test_logout","",""
"","1461","Items list page loads and search is available","tests","2026-06-26","passed","2026-06-26","","test_items_list","",""
"","3661","Moderator can edit group name and description","tests","2026-06-26","passed","2026-06-26","","test_edit_group","",""
"","2809","User can log in with email and password","tests","2026-06-26","passed","2026-06-26","","test_login","",""
"","24164","User can delete an available item","tests","2026-06-26","passed","2026-06-26","","test_delete_item","",""
"","573","Profile page loads and displays personal information","tests","2026-06-26","passed","2026-06-26","","test_profile","",""
"","0","Full borrow and return flow — from request to confirmed return","tests","2026-06-26","skipped","2026-06-26","","test_borrow_return_flow","",""
"","17095","User can add a new item to their inventory","tests","2026-06-26","passed","2026-06-26","","test_add_item","",""
"","18086","User can edit item name and description","tests","2026-06-26","passed","2026-06-26","","test_edit_item","",""
"","2288","Groups list page loads and displays correctly","tests","2026-06-26","passed","2026-06-26","","test_groups_list","",""
"","5048","User can create a group and see it in the groups list","tests","2026-06-26","passed","2026-06-26","","test_group_detail","",""
"","4958","Moderator can generate an invite link for their group","tests","2026-06-26","passed","2026-06-26","","test_group_invite","",""
"","959","User can update their bio on the profile page","tests","2026-06-26","passed","2026-06-26","","test_profile","",""
"","3889","User can create a new group and become its moderator","tests","2026-06-26","passed","2026-06-26","","test_create_group","",""
